"ID","unload","duration","stiffness","load.max","trab.sep","k1","OBSBS","OCSBS","MSBS","MAR","BFRBS","k2","BVTV","trab.num","trab.thick","trab.sep","BMD","cort.thick","k3","BMD0","BMD1","BMD2","BMD4","k4"
"491045","0","2wk",362.3034,138.924,137.7743,1,14.3,12.5,5,2.08,0.104,0,"0.1454","1.9053","0.0908","0.5404","193.4333","0.6331",1,"114.8","100.6","110.2","",1
"491048","0","4wk",375.506,144.4661,143.948,1,NA,NA,NA,NA,NA,0,"0.1328","1.2169","0.0966","0.8933","186.7211","0.6899",1,"126","120.7","116","118",1
"491053","0","2wk",306.512,129.834,128.9605,1,5.52,4.12,8.44,1.98,0.167,1,"0.2006","2.3271","0.0957","0.4453","225.115","0.669",1,"147.4","153.9","142.4","",1
"491062","0","4wk",457.392,176.3353,175.0596,1,NA,NA,NA,NA,NA,0,"0.1676","1.3394","0.1015","0.8108","212.1381","0.7181",1,"85.2","94.2","92.2","85.3",1
"494307","0","4wk",410.1399,170.7537,152.9708,1,NA,NA,NA,NA,NA,NA,"0.1879","2.3018","0.0991","0.4425","212.4066","0.6021",1,"166.5","144.3","148.7","152.4",1
"494308","0","4wk",468.0633,182.6123,182.0445,1,NA,NA,NA,NA,NA,NA,"0.1775","2.4837","0.0961","0.3976","216.6129","0.6257",1,NA,NA,NA,NA,NA
"494312","0","4wk",387.2443,182.8026,169.8727,1,NA,NA,NA,NA,NA,NA,"0.1493","2.0556","0.0929","0.482","193.9703","0.5808",1,"92.2","100.9","104","116.8",1
"495102","1","2wk",273.8194,125.2315,125.2315,1,NA,NA,NA,NA,NA,0,"0.0874","1.4271","0.0759","0.7257","149.5801","0.5831",1,"127.2","105.6","100.9","",1
"495105","0","2wk",337.865,133.4179,133.4179,1,9.48,0.995,6.5,0.737,0.0479,1,"0.142","1.4003","0.0944","0.7677","192.8069","0.6897",1,"120.6","111","112.5","",1
"495106","1","2wk",383.3894,135.2746,135.1763,1,NA,NA,NA,NA,NA,NA,"0.0958","1.678","0.0812","0.6142","160.4092","0.6378",1,"126.3","106.5","85.7","",1
"495107","1","2wk",259.1518,137.3599,119.6597,1,NA,NA,NA,NA,NA,0,"0.0556","1.4503","0.0758","0.7416","119.7778","0.5913",1,"139.5","100.2","87.4","",1
"495110","1","2wk",211.2546,93.7143,92.2261,1,6.45,14.5,3.96,1.3,0.0514,1,"0.0976","1.703","0.0838","0.6046","157.2768","0.5987",1,"167","135.3","119.8","",1
"495112","0","2wk",439.176,164.3993,163.8349,1,NA,NA,NA,NA,NA,NA,"0.1099","1.9358","0.0841","0.5249","168.2849","0.6596",1,NA,NA,NA,NA,NA
"495115","1","2wk",281.5409,103.8529,92.1635,1,NA,NA,NA,NA,NA,NA,"0.0765","1.3564","0.0793","0.756","144.2103","0.6062",1,"144.1","112.2","88.3","",1
"502997","0","2wk",465.9861,192.4168,150.9609,1,6.51,2.63,2.58,0.693,0.0179,1,"0.2708","2.3053","0.1148","0.4545","276.3964","0.6133",1,NA,NA,NA,NA,NA
"502998","0","2wk",392.0881,168.1028,153.6957,1,NA,NA,NA,NA,NA,NA,"0.1125","1.669","0.0868","0.6075","168.4638","0.6439",1,NA,NA,NA,NA,NA
"502999","0","2wk",457.597,181.0862,178.5548,1,NA,NA,NA,NA,NA,0,"0.2727","3.2334","0.1049","0.2933","286.1515","0.6285",1,NA,NA,NA,NA,NA
